,Uncontrolled,"First Come, First Served",Discrimintation Free,With Battery,Cost optimized
ArrivedCars_OPT,12.0,12.0,12.0,12.0,12.0
ServedCars._OPT,8.0,8.0,8.0,8.0,8.0
TotalEnergyLoaded(MWh)_OPT,0.071,0.1832,0.1832,0.1832,0.1296
CarsNotServed_OPT,4.0,4.0,4.0,4.0,4.0
F1_LoadFactorCars(%)_OPT,66.67,66.67,66.67,66.67,66.67
F2_LoadFactorEnergy(%)_OPT,1185600.23,110.34,110.34,110.34,4292922.97
F3_LoadFactorTime(%)_OPT,44.21,44.21,44.21,44.21,44.21
MaxDiversityFactorOPT,308499.47,11.13,11.13,11.13,612021.37
TrafoPeakLoad(%)_OPT,83.49,80.0,80.0,80.0,76.24
CO2Emissions(kge)_OPT,37.35,103.1,103.1,103.1,76.41
EnergyCosts(Euro)_OPT,17.79,46.11,46.11,46.11,31.71
SpecificEnergyCosts(Euro_per_kWh)_OPT,25.05,25.17,25.17,25.17,24.46
Satisfaction(%)_OPT,0.0,87.5,87.5,87.5,62.5
final_soc_OPT_ev1030_32147430,0.8573800820753767,0.999962535082793,0.999962535082793,0.9999640848788935,0.9281113075134689
final_soc_OPT_ev2220_90060296,0.4000487988312419,0.9999999907567789,0.9999999907567789,0.9999999907271209,0.9281469647693392
final_soc_OPT_ev4021_28391193,0.40001209826194906,0.9941717056719813,0.9941717056719813,0.9941717056719813,0.9281341476390045
final_soc_OPT_ev5283_53027930,0.4000301945531081,0.9999982909986519,0.9999982909986519,0.999998340126208,0.9281409037781359
final_soc_OPT_ev6495_50501843,0.40004890049302866,0.9999999988835213,0.9999999988835213,0.9999999988800378,0.5967144492441223
final_soc_OPT_ev6958_47241295,0.803335106162204,0.803335106162204,0.803335106162204,0.803335106162204,0.803335106162204
final_soc_OPT_ev7883_15307834,0.857391119243124,0.9999999997548115,0.9999999997548115,0.9999999997548115,0.40004890049302866
final_soc_OPT_ev8288_33506045,0.8573741893731274,0.9828531247634293,0.9828531247634293,0.9828531247634293,0.9281071073378264
