,Uncontrolled,Discrimintation Free,"First Come, First Served",With Battery,Cost optimized
Angek. Fzg._OPT,12.0,12.0,12.0,12.0,12.0
Gelad. Fzg._OPT,9.0,9.0,9.0,9.0,9.0
Gelad. Energie (MWh)_OPT,0.1729,0.1729,0.1729,0.1729,0.0958
Unbed. Fzg._OPT,3.0,3.0,3.0,3.0,3.0
F1 Fzg.- Auslastung (%)_OPT,75.0,75.0,75.0,75.0,75.0
F2 Energ. Auslastung(%)_OPT,16.04,16.04,16.04,16.04,8.89
F3 Zeitl. Auslastung (%)_OPT,31.65,31.65,31.65,31.65,31.65
Max. Gleichzeitigkeitsfaktor_OPT,1.0,1.0,1.0,1.0,1.0
Trafo Spitzenlast (%)_OPT,61.67,61.67,61.67,61.67,61.67
CO2_Emissionen (kge)_OPT,101.28,101.28,101.28,101.28,58.68
Energiekosten (Euro)_OPT,43.72,43.72,43.72,43.72,23.48
Kosten (Cent per kWh)_OPT,25.29,25.29,25.29,25.29,24.5
Zufriedenheit (%)_OPT,77.78,77.78,77.78,77.78,44.44
